Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/5/2022 21:12,Iksal,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:12,Iksal,5,3,pantai galesong,alam,69
1/5/2022 21:12,Iksal,6,3,wisata londa,budaya,71
1/5/2022 21:12,Iksal,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:12,Iksal,8,4,tanjung bira,alam,77.4
1/5/2022 21:12,Iksal,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:12,Iksal,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:13,Anda,1,4,pantai losari,alam,72
1/5/2022 21:13,Anda,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:13,Anda,3,3,malino,alam,70.8
1/5/2022 21:13,Anda,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:13,Anda,5,3,pantai galesong,alam,69
1/5/2022 21:13,Anda,6,3,wisata londa,budaya,71
1/5/2022 21:13,Anda,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:13,Anda,8,4,tanjung bira,alam,77.4
1/5/2022 21:13,Anda,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:13,Anda,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:13,Jodohmu,1,4,pantai losari,alam,72
1/5/2022 21:13,Jodohmu,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:13,Jodohmu,3,4,malino,alam,70.8
1/5/2022 21:13,Jodohmu,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:13,Jodohmu,5,3,pantai galesong,alam,69
1/5/2022 21:13,Jodohmu,6,4,wisata londa,budaya,71
1/5/2022 21:13,Jodohmu,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:13,Jodohmu,8,4,tanjung bira,alam,77.4
1/5/2022 21:13,Jodohmu,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:13,Jodohmu,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:16,Lisa Rahmawati ,1,4,pantai losari,alam,72
1/5/2022 21:16,Lisa Rahmawati ,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:16,Lisa Rahmawati ,3,4,malino,alam,70.8
